event_id,primary_classification,primary_score
22621274,birthday_celebration,0.984387
22621827,birthday_celebration,0.992715
22622332,personal,0.847772
22623665,birthday_celebration,0.774112
22624530,organizations,0.433056
22627379,birthday_celebration,0.879674
22628460,birthday_celebration,0.772746
22630462,greetings,0.739487
22630715,personal,0.815634
22631831,birthday_celebration,0.912266
22634280,birthday_celebration,0.883627
22635144,birthday_celebration,0.992643
22638061,birthday_celebration,0.992643
22641207,birthday_celebration,0.992643
22643889,birthday_celebration,0.956028
22646345,greetings,0.957996
22646417,greetings,0.969305
22648077,greetings,0.984163
22650432,personal,0.586439
22650667,wedding_related,0.944489
22651213,birthday_celebration,0.992643
22656215,birthday_celebration,0.992643
22656472,birthday_celebration,0.992643
22656791,greetings,0.999632
22656845,wedding_related,0.887345
22657444,wedding_related,0.98348
22658807,greetings,0.996698
22662264,personal,0.965226
22665166,birthday_celebration,0.88998
22665436,wedding_related,0.972843
22669038,wedding_related,0.880648
22672610,wedding_related,0.980526
22675254,personal,0.434873
22675457,birthday_celebration,0.969781
22678301,greetings,0.964016
22678802,personal,0.591575
22679852,birthday_celebration,0.995088
22683106,personal,0.715658
22685788,organizations,0.463565
22686081,birthday_celebration,0.936421
22687752,wedding_related,0.83557
22692460,greetings,0.991597
22696847,greetings,0.962602
22698435,greetings,0.996351
22699179,birthday_celebration,0.884073
22700904,greetings,0.563895
22701336,organizations,0.476766
22702057,wedding_related,0.935031
22702094,wedding_related,0.991335
22703228,birthday_celebration,0.433217
22706653,birthday_celebration,0.992643
22707967,birthday_celebration,0.992643
22709556,birthday_celebration,0.992643
22712791,birthday_celebration,0.992643
22716753,other,0.668516
22720258,greetings,0.882565
22720294,birthday_celebration,0.834587
22720510,personal,0.693435
22723471,wedding_related,0.993488
22725343,organizations,0.785206
22725704,greetings,0.825671
22725744,other,0.853375
22727576,organizations,0.451524
22727612,birthday_celebration,0.964231
22728260,organizations,0.558362
22730751,birthday_celebration,0.936259
22731539,greetings,0.987636
22732440,organizations,0.282345
22733322,birthday_celebration,0.992643
22733339,birthday_celebration,0.992643
22734240,birthday_celebration,0.992643
22734852,birthday_celebration,0.992643
22740703,personal,0.99826
22740847,wedding_related,0.931752
22741397,birthday_celebration,0.992643
22742396,wedding_related,0.886335
22742737,birthday_celebration,0.993073
22744123,birthday_celebration,0.967933
22744638,wedding_related,0.452367
22745478,personal,0.810575
22745509,personal,0.926534
22749261,organizations,0.640521
22749382,greetings,0.99821
22751092,birthday_celebration,0.940223
22752246,birthday_celebration,0.998831
22752625,birthday_celebration,0.934442
22759091,personal,0.987097
22764817,birthday_celebration,0.992643
22768015,birthday_celebration,0.992643
22768351,birthday_celebration,0.992643
22769030,birthday_celebration,0.992643
22770115,birthday_celebration,0.992643
22775136,wedding_related,0.974964
22775804,personal,0.936407
22776098,wedding_related,0.987062
22778768,wedding_related,0.85376
22780908,organizations,0.734759
22782330,birthday_celebration,0.994083
22784151,wedding_related,0.588978
22785033,wedding_related,0.948882
22785736,personal,0.898101
22785737,organizations,0.949146
22789458,birthday_celebration,0.992643
22792807,birthday_celebration,0.992643
22796023,birthday_celebration,0.992643
22798557,birthday_celebration,0.992643
22798826,birthday_celebration,0.992643
22800609,birthday_celebration,0.992643
22801329,birthday_celebration,0.992643
22806856,birthday_celebration,0.992643
22807641,birthday_celebration,0.992643
22807720,birthday_celebration,0.992643
22809190,birthday_celebration,0.967933
22817729,birthday_celebration,0.924523
22818343,greetings,0.767826
22820659,greetings,0.999478
22826920,birthday_celebration,0.994195
22095859,personal,0.870587
22096795,greetings,0.970174
22097155,birthday_celebration,0.89092
22101742,greetings,0.937567
22103209,greetings,0.966714
22106142,birthday_celebration,0.99957
22109636,birthday_celebration,0.72864
22110932,greetings,0.948342
22113737,greetings,0.880421
22118354,personal,0.718035
22139869,greetings,0.794101
22141311,wedding_related,0.46203
22151076,personal,0.898647
22159190,birthday_celebration,0.878206
22168305,birthday_celebration,0.945743
22172521,birthday_celebration,0.832916
22173637,birthday_celebration,0.952075
22175852,personal,0.502533
22178485,birthday_celebration,0.997173
22185437,personal,0.762691
22199918,birthday_celebration,0.974869
22207876,greetings,0.995733
22211710,birthday_celebration,0.904669
22212720,personal,0.737991
22213753,personal,0.472067
22216779,wedding_related,0.666787
22218690,birthday_celebration,0.988282
22221681,greetings,0.994158
22223375,birthday_celebration,0.994361
22226185,wedding_related,0.890204
22226509,organizations,0.829919
22235578,personal,0.972223
22239145,personal,0.889114
22244547,wedding_related,0.823908
22249804,organizations,0.83131
22264141,birthday_celebration,0.998195
22264933,organizations,0.664902
22271275,personal,0.875742
22283433,birthday_celebration,0.958234
22290361,personal,0.969677
22290522,organizations,0.406577
22292500,personal,0.995344
22292788,personal,0.850776
22296268,birthday_celebration,0.969252
22301670,greetings,0.931611
22305116,other,0.75992
22306973,other,0.552943
22308413,personal,0.76092
22309192,personal,0.598761
22313029,personal,0.666806
22313056,birthday_celebration,0.993745
22313859,greetings,0.935763
22321314,greetings,0.756983
22321962,birthday_celebration,0.950608
22322071,wedding_related,0.854066
22326901,wedding_related,0.682484
22338970,wedding_related,0.627612
22344104,wedding_related,0.989748
22346410,organizations,0.659281
22350032,personal,0.947755
22350933,birthday_celebration,0.87229
22353166,birthday_celebration,0.923907
22353274,personal,0.945421
22356119,birthday_celebration,0.971627
22368358,organizations,0.89207
22369837,wedding_related,0.953662
22375136,birthday_celebration,0.994992
22375537,birthday_celebration,0.994869
22382016,personal,0.793911
22382268,organizations,0.282345
22387892,birthday_celebration,0.997788
22397437,greetings,0.944384
22399713,wedding_related,0.77203
22400501,organizations,0.591561
22403309,birthday_celebration,0.885487
22417686,organizations,0.79979
22419072,wedding_related,0.923314
22419743,wedding_related,0.996696
22421251,birthday_celebration,0.726691
22422439,birthday_celebration,0.909964
22433943,greetings,0.980618
22436301,wedding_related,0.920311
22437148,greetings,0.979023
22439957,personal,0.543549
22443526,birthday_celebration,0.855354
22449606,birthday_celebration,0.922738
22451082,personal,0.47575
22452782,personal,0.912467
22456747,organizations,0.38181
22456980,greetings,0.956328
22462151,greetings,0.96945
22464618,wedding_related,0.636601
22469301,personal,0.555922
22476060,wedding_related,0.831003
22479355,birthday_celebration,0.993706
22481894,wedding_related,0.940713
